Terminate!
aid: 0, oid: 1317, r: -11.0
aid: 2, oid: 1825, r: -1.0
aid: 2, oid: 3348, r: -1.0
aid: 3, oid: 3348, r: -11.0
aid: 0, oid: 170, r: -101.0
Terminate!
aid: 0, oid: 1061, r: -11.0
aid: 0, oid: 1061, r: -11.0
aid: 2, oid: 1569, r: -1.0
aid: 1, oid: 1061, r: -1.0
aid: 0, oid: 1061, r: -11.0
aid: 3, oid: 5157, r: -11.0
aid: 0, oid: 5157, r: -11.0
aid: 3, oid: 5157, r: -11.0
aid: 3, oid: 1061, r: -61.0
Terminate!
aid: 2, oid: 1809, r: -1.0
aid: 2, oid: 3348, r: -1.0
aid: 2, oid: 1809, r: -1.0
aid: 0, oid: 1809, r: -11.0
aid: 1, oid: 3348, r: -51.0
Terminate!
aid: 0, oid: 1349, r: -11.0
aid: 3, oid: 1349, r: -11.0
aid: 1, oid: 1317, r: -1.0
aid: 2, oid: 1349, r: -1.0
aid: 3, oid: 16709, r: -11.0
aid: 2, oid: 5153, r: -51.0
Terminate!
aid: 1, oid: 1301, r: -1.0
aid: 1, oid: 1825, r: -1.0
aid: 3, oid: 538, r: -1.0
aid: 3, oid: 1554, r: -1.0
aid: 2, oid: 1045, r: 9.0
aid: 3, oid: 1045, r: -11.0
aid: 3, oid: 1045, r: -11.0
aid: 0, oid: 17429, r: -11.0
aid: 0, oid: 20501, r: -11.0
aid: 2, oid: 5141, r: 9.0
aid: 0, oid: 5141, r: -61.0
Terminate!
aid: 0, oid: 1317, r: -11.0
aid: 1, oid: 1317, r: -1.0
aid: 3, oid: 1317, r: -11.0
aid: 0, oid: 1317, r: -11.0
aid: 2, oid: 16677, r: -1.0
aid: 1, oid: 16677, r: -1.0
aid: 3, oid: 16677, r: -11.0
aid: 3, oid: 1317, r: -61.0
Terminate!
aid: 3, oid: 1317, r: -11.0
aid: 2, oid: 1809, r: -1.0
aid: 1, oid: 1317, r: -1.0
aid: 2, oid: 1809, r: -1.0
aid: 0, oid: 1809, r: -11.0
aid: 3, oid: 538, r: -1.0
aid: 3, oid: 2840, r: 9.0
aid: 0, oid: 554, r: -51.0
Terminate!
aid: 3, oid: 1301, r: -11.0
aid: 3, oid: 1301, r: -11.0
aid: 2, oid: 1825, r: -1.0
aid: 1, oid: 1301, r: -1.0
aid: 3, oid: 5141, r: -11.0
aid: 0, oid: 20501, r: -11.0
aid: 1, oid: 16677, r: -51.0
Terminate!
